"Category","TreeID"
"ID 74",18
"ID 83",17
"ID 84",15
"ID 136",14
"ID 312",17
"ID 313",16
"ID 314",18
"ID 319",20
"ID 320",20
"ID 321",18
"ID 62",20
"ID 73",19
"ID 81",25
"ID 82",18
"ID 95",23
"ID 112",21
"ID 122",20
"ID 1213",20
"ID 1214",20
"ID 1218",19
"ID 126",34
"ID 134",31
"ID 143",31
"ID 145",34
"ID 149",26
"ID 219",25
"ID 612",34
"ID 821",35
"ID 1018",26
"ID 1416",37
"ID 43",46
"ID 44",48
"ID 72",53
"ID 135",41
"ID 138",29
"ID 144",46
"ID 413",39
"ID 1310",34
"ID 1412",34
"ID 1415",27
